modelName;type;maxPerturbation;size;clum_size;nlum_size;et_rel;et;|M*xt|_2;epsilon;max_deviation;norm_x0;compactum_bound;norm_fx0;max_allowed_slope;avg_per_err;avg_err;max_err;max_epsilon;consideredEpsilons;tolerance;t0;t1;secThisEpsilon;secTotal
BIOMD447_TGFb1_[e=0.005];paper/polynomial;0.0;13;13;12;0.3805863633300178;0.005776146608965598;0.015176966821475232;0.00494973866566758;;0.0;0.0;0.03552112047782278;;29.070539988165013;0.004413118852863906;0.01034640302025112;24.500024999987243;26;1e-06;0.0;500.0;0.4047269821166992;0.48766446113586426
BIOMD102_C9_[e=0.100];paper/polynomial;0.0;13;13;2;36.61977645073392;19.335669627128226;0.5280116784203008;0.10000423689740712;;0.0;0.0;0.20591260281974003;;2073.849493757758;14.649381137466843;19.335669627128226;0.10000499987500626;18;1e-06;0.0;5000.0;0.15528178215026855;0.1768357753753662
BIOMD102_C9_[e=0.002];paper/polynomial;0.0;13;13;5;5.889890660283869;3.1099310532485394;0.5280116784203008;0.0022446800966817353;;0.0;0.0;0.20591260281974003;;321.49135023026156;2.0597183335382887;3.1099310532485394;0.10000499987500626;18;1e-06;0.0;5000.0;0.50921630859375;0.589073657989502
BIOMD102_C9_[e=0.002];paper/polynomial;0.0;13;13;5;5.889890660283869;3.1099310532485394;0.5280116784203008;0.0022446800966817353;;0.0;0.0;0.20591260281974003;;321.49135023026156;2.0597183335382887;3.1099310532485394;0.10000499987500626;18;1e-06;0.0;5000.0;0.028812170028686523;0.10993146896362305
BIOMD102_C9_[e=0.002];paper/polynomial;0.0;13;13;7;6.296076514351286;3.32440192780526;0.5280116784203008;0.002230946499897143;;0.0;0.0;0.20591260281974003;;346.9380054202222;2.24156687061681;3.325354091965834;0.10000499987500626;18;1e-06;0.0;5000.0;0.2452244758605957;0.400850772857666
BIOMD102_C9_[e=0.002];paper/polynomial;0.0;13;13;12;2.902648569590878;1.532632343093965;0.5280116784203008;0.0016602392557374087;;0.0;0.0;0.20591260281974003;;152.99479056452842;1.0674405302524812;2.1240386349952436;0.10000499987500626;18;1e-06;0.0;5000.0;0.5665583610534668;1.3064441680908203
BIOMD102_C9_[e=0.002];paper/polynomial;0.0;13;13;12;2.902648569590878;1.532632343093965;0.5280116784203008;0.0016602392557374087;;0.0;0.0;0.20591260281974003;;152.99479056452842;1.0674405302524812;2.1240386349952436;0.10000499987500626;18;1e-06;0.0;5000.0;0.027492046356201172;0.7729105949401855
BIOMD102_C9_[e=0.002];paper/polynomial;0.0;13;13;12;2.902648569590878;1.532632343093965;0.5280116784203008;0.0016602392557374087;;0.0;0.0;0.20591260281974003;;152.99479056452842;1.0674405302524812;2.1240386349952436;0.10000499987500626;18;1e-06;0.0;5000.0;0.028820037841796875;0.7870194911956787
BIOMD102_C3_[e=0.004];paper/polynomial;0.0;13;13;2;14.998191319124567;186.05466613739677;12.405140205149525;0.0035169565315672;;0.0;0.0;0.20591260281974003;;772.5800064837516;114.2568655323909;186.05466613739677;0.0035178153732110503;13;1e-06;0.0;5000.0;0.1943514347076416;0.2156982421875
BIOMD102_C3_[e=0.002];paper/polynomial;0.0;13;13;6;7.372001187618145;91.4507083249319;12.405140205149525;0.0019701827309927117;;0.0;0.0;0.20591260281974003;;400.97452557083324;60.890807597461695;94.08993540421622;0.0035178153732110503;13;1e-06;0.0;5000.0;0.22382426261901855;0.3205077648162842
BIOMD102_C3_[e=0.002];paper/polynomial;0.0;13;13;6;7.372001187618145;91.4507083249319;12.405140205149525;0.0019701827309927117;;0.0;0.0;0.20591260281974003;;400.97452557083324;60.890807597461695;94.08993540421622;0.0035178153732110503;13;1e-06;0.0;5000.0;0.02151346206665039;0.11579370498657227
BIOMD102_C3_[e=0.002];paper/polynomial;0.0;13;13;7;1.2927149766935389;16.03631053117995;12.405140205149525;0.0017262717041392115;;0.0;0.0;0.20591260281974003;;85.71243026960171;22.678871100538565;72.53097236236289;0.0035178153732110503;13;1e-06;0.0;5000.0;0.4819808006286621;0.5764296054840088
BIOMD102_C3_[e=0.001];paper/polynomial;0.0;13;13;11;11.606730963526157;143.98312492599223;12.405140205149525;0.00099453862357871;;0.0;0.0;0.20591260281974003;;605.0215721283201;88.11378254390821;143.98312492599223;0.0035178153732110503;13;1e-06;0.0;5000.0;0.5605518817901611;0.9847507476806641
BIOMD102_C3_[e=0.001];paper/polynomial;0.0;13;13;11;11.606730963526157;143.98312492599223;12.405140205149525;0.00099453862357871;;0.0;0.0;0.20591260281974003;;605.0215721283201;88.11378254390821;143.98312492599223;0.0035178153732110503;13;1e-06;0.0;5000.0;0.02073192596435547;0.5127332210540771
BIOMD102_C3_[e=0.000];paper/polynomial;0.0;13;13;12;0.004905238084399294;0.06085016617661232;12.405140205149525;0.00042340893041822457;;0.0;0.0;0.20591260281974003;;2.27836861039777;1.014737581044463;10.1065477595764;0.0035178153732110503;13;1e-06;0.0;5000.0;0.9739937782287598;1.5308032035827637
